@relation weka_training_5

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric
@attribute A59 numeric
@attribute A60 numeric
@attribute A61 numeric
@attribute A62 numeric
@attribute A63 numeric
@attribute A64 numeric
@attribute A65 numeric
@attribute A66 numeric
@attribute A67 numeric
@attribute A68 numeric
@attribute A69 numeric
@attribute A70 numeric
@attribute A71 numeric
@attribute A72 numeric
@attribute A73 numeric
@attribute A74 numeric
@attribute A75 numeric
@attribute A76 numeric
@attribute A77 numeric
@attribute A78 numeric
@attribute A79 numeric
@attribute A80 numeric
@attribute A81 numeric
@attribute A82 numeric
@attribute A83 numeric
@attribute A84 numeric
@attribute Target {Rise,Down}

@data
-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.060211,-0.015622,0.003826,0.02068,77.56,296.5325,31.888,1798.8,-0.061734,-0.020034,0.004573,0.016613,-1.686,0.4675,0.036,19,-0.00027,-0.002319,0.003816,0.00525,-1.724,0.49,0.044,10.6,0.071103,0.02094,0.001873,-0.016071,0.362,0.03,0.062,1,0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,77.409,299.60125,31.978,1810,Rise
-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.060211,-0.015622,0.003826,0.02068,77.56,296.5325,31.888,1798.8,-0.061734,-0.020034,0.004573,0.016613,-1.686,0.4675,0.036,19,-0.00027,-0.002319,0.003816,0.00525,-1.724,0.49,0.044,10.6,0.071103,0.02094,0.001873,-0.016071,0.362,0.03,0.062,1,0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,77.571,302.565,31.976,1825.6,Rise
-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.060211,-0.015622,0.003826,0.02068,77.56,296.5325,31.888,1798.8,-0.061734,-0.020034,0.004573,0.016613,-1.686,0.4675,0.036,19,-0.00027,-0.002319,0.003816,0.00525,-1.724,0.49,0.044,10.6,0.071103,0.02094,0.001873,-0.016071,0.362,0.03,0.062,1,0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,0.001266,0.005235,-0.005568,0.077392,1.31,3.24,-0.06,35,77.364,304.43,31.968,1848.4,Rise
-0.001513,-0.004178,-0.000154,-0.000407,0.207382,0.550417,0.107757,4.395833,-0.060211,-0.015622,0.003826,0.02068,77.56,296.5325,31.888,1798.8,-0.061734,-0.020034,0.004573,0.016613,-1.686,0.4675,0.036,19,-0.00027,-0.002319,0.003816,0.00525,-1.724,0.49,0.044,10.6,0.071103,0.02094,0.001873,-0.016071,0.362,0.03,0.062,1,0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,0.001266,0.005235,-0.005568,0.077392,1.31,3.24,-0.06,35,-0.007641,0.004655,-0.001942,0.053375,0.038,2.27,-0.046,42.6,77.564,305.58,31.976,1870.2,Rise
-0.060211,-0.015622,0.003826,0.02068,77.56,296.5325,31.888,1798.8,-0.061734,-0.020034,0.004573,0.016613,-1.686,0.4675,0.036,19,-0.00027,-0.002319,0.003816,0.00525,-1.724,0.49,0.044,10.6,0.071103,0.02094,0.001873,-0.016071,0.362,0.03,0.062,1,0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,0.001266,0.005235,-0.005568,0.077392,1.31,3.24,-0.06,35,-0.007641,0.004655,-0.001942,0.053375,0.038,2.27,-0.046,42.6,0.015817,0.021791,-0.003076,0.029878,0.56,3.01,-0.064,43.6,78.356,307.525,31.963,1889,Rise
-0.061734,-0.020034,0.004573,0.016613,-1.686,0.4675,0.036,19,-0.00027,-0.002319,0.003816,0.00525,-1.724,0.49,0.044,10.6,0.071103,0.02094,0.001873,-0.016071,0.362,0.03,0.062,1,0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,0.001266,0.005235,-0.005568,0.077392,1.31,3.24,-0.06,35,-0.007641,0.004655,-0.001942,0.053375,0.038,2.27,-0.046,42.6,0.015817,0.021791,-0.003076,0.029878,0.56,3.01,-0.064,43.6,0.037381,0.036205,-0.004279,0.025205,0.684,3.75,-0.072,45,79.559,311.535,31.927,1910.4,Rise
-0.00027,-0.002319,0.003816,0.00525,-1.724,0.49,0.044,10.6,0.071103,0.02094,0.001873,-0.016071,0.362,0.03,0.062,1,0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,0.001266,0.005235,-0.005568,0.077392,1.31,3.24,-0.06,35,-0.007641,0.004655,-0.001942,0.053375,0.038,2.27,-0.046,42.6,0.015817,0.021791,-0.003076,0.029878,0.56,3.01,-0.064,43.6,0.037381,0.036205,-0.004279,0.025205,0.684,3.75,-0.072,45,0.011913,0.03322,-0.007443,0.03247,0.4,3.2,-0.08,39.2,80.764,315.865,31.867,1936.1,Rise
0.071103,0.02094,0.001873,-0.016071,0.362,0.03,0.062,1,0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,0.001266,0.005235,-0.005568,0.077392,1.31,3.24,-0.06,35,-0.007641,0.004655,-0.001942,0.053375,0.038,2.27,-0.046,42.6,0.015817,0.021791,-0.003076,0.029878,0.56,3.01,-0.064,43.6,0.037381,0.036205,-0.004279,0.025205,0.684,3.75,-0.072,45,0.011913,0.03322,-0.007443,0.03247,0.4,3.2,-0.08,39.2,0.023717,0.011979,-0.006449,0.023235,0.888,3.63,-0.072,18.4,81.863,319.3,31.801,1962.8,Rise
0.054596,0.033847,0.000374,-0.015575,1.024,0.88,0.038,-6,0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,0.001266,0.005235,-0.005568,0.077392,1.31,3.24,-0.06,35,-0.007641,0.004655,-0.001942,0.053375,0.038,2.27,-0.046,42.6,0.015817,0.021791,-0.003076,0.029878,0.56,3.01,-0.064,43.6,0.037381,0.036205,-0.004279,0.025205,0.684,3.75,-0.072,45,0.011913,0.03322,-0.007443,0.03247,0.4,3.2,-0.08,39.2,0.023717,0.011979,-0.006449,0.023235,0.888,3.63,-0.072,18.4,0.021001,-0.03214,-0.00374,0.038215,1.23,0.4,-0.086,31,82.497,320.635,31.735,1999.6,Rise
0.054907,0.034956,-0.001809,0.002087,1.722,4.27,0,-2.2,0.024878,0.033168,-0.004933,0.041235,2.01,5.46,-0.04,12.2,0.001266,0.005235,-0.005568,0.077392,1.31,3.24,-0.06,35,-0.007641,0.004655,-0.001942,0.053375,0.038,2.27,-0.046,42.6,0.015817,0.021791,-0.003076,0.029878,0.56,3.01,-0.064,43.6,0.037381,0.036205,-0.004279,0.025205,0.684,3.75,-0.072,45,0.011913,0.03322,-0.007443,0.03247,0.4,3.2,-0.08,39.2,0.023717,0.011979,-0.006449,0.023235,0.888,3.63,-0.072,18.4,0.021001,-0.03214,-0.00374,0.038215,1.23,0.4,-0.086,31,-0.094056,-0.09903,0.003426,0.046533,-1.47,-6.92,-0.026,43.6,82.042,318.68,31.69,2043.2,Rise
