@relation weka_training_9

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric
@attribute A59 numeric
@attribute A60 numeric
@attribute A61 numeric
@attribute A62 numeric
@attribute A63 numeric
@attribute A64 numeric
@attribute A65 numeric
@attribute A66 numeric
@attribute A67 numeric
@attribute A68 numeric
@attribute A69 numeric
@attribute A70 numeric
@attribute A71 numeric
@attribute A72 numeric
@attribute A73 numeric
@attribute A74 numeric
@attribute A75 numeric
@attribute A76 numeric
@attribute A77 numeric
@attribute A78 numeric
@attribute A79 numeric
@attribute A80 numeric
@attribute A81 numeric
@attribute A82 numeric
@attribute A83 numeric
@attribute A84 numeric
@attribute Target {Rise,Down}

@data
-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,77.409,299.60125,31.978,1810,Rise
-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,77.571,302.565,31.976,1825.6,Rise
-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,0.043816,0.02784,-0.006217,0.085565,0.297778,1.044444,0.001111,24.222222,77.364,304.43,31.968,1848.4,Rise
-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,0.043816,0.02784,-0.006217,0.085565,0.297778,1.044444,0.001111,24.222222,0.026958,0.030599,-0.003925,0.073473,0.606667,1.222222,-0.003333,20.888889,77.564,305.58,31.976,1870.2,Rise
-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,0.043816,0.02784,-0.006217,0.085565,0.297778,1.044444,0.001111,24.222222,0.026958,0.030599,-0.003925,0.073473,0.606667,1.222222,-0.003333,20.888889,0.044282,0.046203,-0.006189,0.062331,1.063333,3.516667,-0.027778,19.666667,78.356,307.525,31.963,1889,Rise
-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,0.043816,0.02784,-0.006217,0.085565,0.297778,1.044444,0.001111,24.222222,0.026958,0.030599,-0.003925,0.073473,0.606667,1.222222,-0.003333,20.888889,0.044282,0.046203,-0.006189,0.062331,1.063333,3.516667,-0.027778,19.666667,0.055052,0.057961,-0.008182,0.069193,1.525556,4.55,-0.046667,22.444444,79.559,311.535,31.927,1910.4,Rise
-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,0.043816,0.02784,-0.006217,0.085565,0.297778,1.044444,0.001111,24.222222,0.026958,0.030599,-0.003925,0.073473,0.606667,1.222222,-0.003333,20.888889,0.044282,0.046203,-0.006189,0.062331,1.063333,3.516667,-0.027778,19.666667,0.055052,0.057961,-0.008182,0.069193,1.525556,4.55,-0.046667,22.444444,0.021336,0.05147,-0.01169,0.08115,1.012222,4.172222,-0.068889,29.666667,80.764,315.865,31.867,1936.1,Rise
-0.002585,-0.008723,-0.000525,-0.002384,0.200718,0.515268,0.108991,3.751956,0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,0.043816,0.02784,-0.006217,0.085565,0.297778,1.044444,0.001111,24.222222,0.026958,0.030599,-0.003925,0.073473,0.606667,1.222222,-0.003333,20.888889,0.044282,0.046203,-0.006189,0.062331,1.063333,3.516667,-0.027778,19.666667,0.055052,0.057961,-0.008182,0.069193,1.525556,4.55,-0.046667,22.444444,0.021336,0.05147,-0.01169,0.08115,1.012222,4.172222,-0.068889,29.666667,0.036897,0.031531,-0.010667,0.062654,0.59,3.044444,-0.073333,33.888889,81.863,319.3,31.801,1962.8,Rise
0.035158,0.034941,0.003301,-0.007373,76.954444,298.084722,31.974444,1808.333333,0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,0.043816,0.02784,-0.006217,0.085565,0.297778,1.044444,0.001111,24.222222,0.026958,0.030599,-0.003925,0.073473,0.606667,1.222222,-0.003333,20.888889,0.044282,0.046203,-0.006189,0.062331,1.063333,3.516667,-0.027778,19.666667,0.055052,0.057961,-0.008182,0.069193,1.525556,4.55,-0.046667,22.444444,0.021336,0.05147,-0.01169,0.08115,1.012222,4.172222,-0.068889,29.666667,0.036897,0.031531,-0.010667,0.062654,0.59,3.044444,-0.073333,33.888889,0.040305,-0.015166,-0.008413,0.072029,0.721111,0.955556,-0.072222,41.444444,82.497,320.635,31.735,1999.6,Rise
0.056201,0.041351,0.000695,0.004772,0.208889,2.726389,0.013333,8,0.055126,0.049006,-0.003682,0.043106,-0.167778,2.666667,0,13.777778,0.043816,0.02784,-0.006217,0.085565,0.297778,1.044444,0.001111,24.222222,0.026958,0.030599,-0.003925,0.073473,0.606667,1.222222,-0.003333,20.888889,0.044282,0.046203,-0.006189,0.062331,1.063333,3.516667,-0.027778,19.666667,0.055052,0.057961,-0.008182,0.069193,1.525556,4.55,-0.046667,22.444444,0.021336,0.05147,-0.01169,0.08115,1.012222,4.172222,-0.068889,29.666667,0.036897,0.031531,-0.010667,0.062654,0.59,3.044444,-0.073333,33.888889,0.040305,-0.015166,-0.008413,0.072029,0.721111,0.955556,-0.072222,41.444444,-0.085165,-0.095004,-0.000772,0.07911,-0.71,-2.7,-0.042222,45.111111,82.042,318.68,31.69,2043.2,Rise
