@relation weka_training_2

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric
@attribute A59 numeric
@attribute A60 numeric
@attribute A61 numeric
@attribute A62 numeric
@attribute A63 numeric
@attribute A64 numeric
@attribute A65 numeric
@attribute A66 numeric
@attribute A67 numeric
@attribute A68 numeric
@attribute A69 numeric
@attribute A70 numeric
@attribute A71 numeric
@attribute A72 numeric
@attribute A73 numeric
@attribute A74 numeric
@attribute A75 numeric
@attribute A76 numeric
@attribute A77 numeric
@attribute A78 numeric
@attribute A79 numeric
@attribute A80 numeric
@attribute A81 numeric
@attribute A82 numeric
@attribute A83 numeric
@attribute A84 numeric
@attribute A85 numeric
@attribute A86 numeric
@attribute A87 numeric
@attribute A88 numeric
@attribute A89 numeric
@attribute A90 numeric
@attribute A91 numeric
@attribute A92 numeric
@attribute A93 numeric
@attribute A94 numeric
@attribute A95 numeric
@attribute A96 numeric
@attribute A97 numeric
@attribute A98 numeric
@attribute A99 numeric
@attribute A100 numeric
@attribute A101 numeric
@attribute A102 numeric
@attribute A103 numeric
@attribute A104 numeric
@attribute A105 numeric
@attribute A106 numeric
@attribute A107 numeric
@attribute A108 numeric
@attribute A109 numeric
@attribute A110 numeric
@attribute A111 numeric
@attribute A112 numeric
@attribute A113 numeric
@attribute A114 numeric
@attribute A115 numeric
@attribute A116 numeric
@attribute A117 numeric
@attribute A118 numeric
@attribute A119 numeric
@attribute A120 numeric
@attribute A121 numeric
@attribute A122 numeric
@attribute A123 numeric
@attribute A124 numeric
@attribute A125 numeric
@attribute A126 numeric
@attribute A127 numeric
@attribute A128 numeric
@attribute Target {Rise,Down}

@data
104.42,515.2,29.58,2600,0.032328,-0.01862,-0.000169,0,9.11,-28.225,0.085,45,101.16,449.7,29.46,2600,-0.015858,-0.067883,-0.002033,0,1.64,-42.525,-0.065,0,101.07,447.25,29.55,2610,-0.000445,-0.002731,0.001525,0.001919,-1.675,-33.975,-0.015,5,105.4,507.35,29.55,2760,0.020972,0.062958,0,0.027933,2.12,28.825,0.045,80,107.94,504.7,29.32,2760,0.011906,-0.002618,-0.003907,0,3.435,28.725,-0.115,75,112.79,520.45,29.06,2810,0.021973,0.015364,-0.004454,0.008977,3.695,6.55,-0.245,25,109.66,510.05,29.05,2980,-0.014071,-0.010092,-0.000172,0.029361,0.86,2.675,-0.135,110,111.795,484.85,29.01,3180,0.009641,-0.025329,-0.000689,0.032468,-0.4975,-17.8,-0.025,185,113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,106.5345,483.48,29.206,2869,160.64,747.125,43.85,4190,Rise
101.16,449.7,29.46,2600,-0.015858,-0.067883,-0.002033,0,1.64,-42.525,-0.065,0,101.07,447.25,29.55,2610,-0.000445,-0.002731,0.001525,0.001919,-1.675,-33.975,-0.015,5,105.4,507.35,29.55,2760,0.020972,0.062958,0,0.027933,2.12,28.825,0.045,80,107.94,504.7,29.32,2760,0.011906,-0.002618,-0.003907,0,3.435,28.725,-0.115,75,112.79,520.45,29.06,2810,0.021973,0.015364,-0.004454,0.008977,3.695,6.55,-0.245,25,109.66,510.05,29.05,2980,-0.014071,-0.010092,-0.000172,0.029361,0.86,2.675,-0.135,110,111.795,484.85,29.01,3180,0.009641,-0.025329,-0.000689,0.032468,-0.4975,-17.8,-0.025,185,113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,106.0575,475.805,29.121,2948,160.64,714.675,43.585,4385,Rise
101.07,447.25,29.55,2610,-0.000445,-0.002731,0.001525,0.001919,-1.675,-33.975,-0.015,5,105.4,507.35,29.55,2760,0.020972,0.062958,0,0.027933,2.12,28.825,0.045,80,107.94,504.7,29.32,2760,0.011906,-0.002618,-0.003907,0,3.435,28.725,-0.115,75,112.79,520.45,29.06,2810,0.021973,0.015364,-0.004454,0.008977,3.695,6.55,-0.245,25,109.66,510.05,29.05,2980,-0.014071,-0.010092,-0.000172,0.029361,0.86,2.675,-0.135,110,111.795,484.85,29.01,3180,0.009641,-0.025329,-0.000689,0.032468,-0.4975,-17.8,-0.025,185,113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,105.8905,476.04,29.059,3039.1,160.64,714.675,43.555,4670,Rise
105.4,507.35,29.55,2760,0.020972,0.062958,0,0.027933,2.12,28.825,0.045,80,107.94,504.7,29.32,2760,0.011906,-0.002618,-0.003907,0,3.435,28.725,-0.115,75,112.79,520.45,29.06,2810,0.021973,0.015364,-0.004454,0.008977,3.695,6.55,-0.245,25,109.66,510.05,29.05,2980,-0.014071,-0.010092,-0.000172,0.029361,0.86,2.675,-0.135,110,111.795,484.85,29.01,3180,0.009641,-0.025329,-0.000689,0.032468,-0.4975,-17.8,-0.025,185,113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,105.8425,477.365,28.999,3129.2,160.64,715.1,43.485,4780,Rise
107.94,504.7,29.32,2760,0.011906,-0.002618,-0.003907,0,3.435,28.725,-0.115,75,112.79,520.45,29.06,2810,0.021973,0.015364,-0.004454,0.008977,3.695,6.55,-0.245,25,109.66,510.05,29.05,2980,-0.014071,-0.010092,-0.000172,0.029361,0.86,2.675,-0.135,110,111.795,484.85,29.01,3180,0.009641,-0.025329,-0.000689,0.032468,-0.4975,-17.8,-0.025,185,113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,105.3245,472.85,28.918,3234.2,158.235,692.45,43.37,4795,Rise
112.79,520.45,29.06,2810,0.021973,0.015364,-0.004454,0.008977,3.695,6.55,-0.245,25,109.66,510.05,29.05,2980,-0.014071,-0.010092,-0.000172,0.029361,0.86,2.675,-0.135,110,111.795,484.85,29.01,3180,0.009641,-0.025329,-0.000689,0.032468,-0.4975,-17.8,-0.025,185,113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,104.4595,468.565,28.86,3339.2,150.7,692.1,43.235,4990,Rise
109.66,510.05,29.05,2980,-0.014071,-0.010092,-0.000172,0.029361,0.86,2.675,-0.135,110,111.795,484.85,29.01,3180,0.009641,-0.025329,-0.000689,0.032468,-0.4975,-17.8,-0.025,185,113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,102.4815,462.165,28.846,3444.2,150.045,690.325,43.235,5206,Rise
111.795,484.85,29.01,3180,0.009641,-0.025329,-0.000689,0.032468,-0.4975,-17.8,-0.025,185,113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,100.6315,454.835,28.835,3566.2,149.395,687.875,43.235,5266.5,Rise
113.93,459.65,28.79,3190,0.009458,-0.026681,-0.003806,0.00157,2.135,-25.2,-0.13,105,97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,98.946,449.96,28.812,3668.2,149.135,682.475,43.18,5565.5,Rise
97.18,435.6,28.69,3200,-0.079343,-0.026864,-0.00174,0.001565,-7.3075,-24.625,-0.16,10,99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.173,449.235,28.814,3769.2,147.88,678.425,43.2,5715,Rise
99.65,438.45,28.73,3390,0.012549,0.003261,0.000697,0.028832,-7.14,-10.6,-0.03,100,99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,97.179,450.8,28.834,3869.2,147.91,678.425,43.245,5765,Rise
99.49,452.05,28.84,3511,-0.000803,0.015272,0.001911,0.017534,1.155,8.225,0.075,155.5,100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,97.201,453.13,28.85,3951.2,147.91,682.65,43.31,6130,Down
100.59,460.5,28.95,3511,0.005498,0.00926,0.001903,0,0.47,11.025,0.11,60.5,100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,96.822,454.89,28.85,4013.1,145.34,688.725,43.31,6265,Down
100.22,462.2,28.74,3810,-0.001843,0.001842,-0.00364,0.040841,0.365,5.075,-0.05,149.5,99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,95.451,454.795,28.846,4067,144.05,687.775,43.31,6265,Down
99.29,461.85,28.74,3810,-0.004661,-0.000379,0,0,-0.65,0.675,-0.105,149.5,93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,85.38,461.3,29.04,3925,-0.008708,0.0019,0.002243,-0.015674,-5.16,-4.175,0.1,-102.5,93.967,454.705,28.876,4078.5,143.17,687.775,43.335,6265,Down
93.01,456.45,28.92,3860,-0.032657,-0.00588,0.003122,0.006519,-3.605,-2.875,0.09,25,91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,85.38,461.3,29.04,3925,-0.008708,0.0019,0.002243,-0.015674,-5.16,-4.175,0.1,-102.5,82.26,450.65,28.98,3870,-0.018611,-0.011678,-0.001034,-0.007056,-2.31,-4.45,0.035,-90,92.264,453.585,28.9,4084.5,141.445,682.65,43.355,6265,Down
91.16,436.75,28.94,4200,-0.010045,-0.022056,0.000346,0.042184,-4.065,-12.55,0.1,195,94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,85.38,461.3,29.04,3925,-0.008708,0.0019,0.002243,-0.015674,-5.16,-4.175,0.1,-102.5,82.26,450.65,28.98,3870,-0.018611,-0.011678,-0.001034,-0.007056,-2.31,-4.45,0.035,-90,85.37,454.85,29.02,3820,0.018553,0.004638,0.00069,-0.006502,-0.005,-3.225,-0.01,-52.5,91.5,453.425,28.91,4080.5,140.52,681.05,43.355,6265,Down
94.94,436.1,28.78,4200,0.020312,-0.000745,-0.002772,0,0.965,-10.175,-0.07,170,96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,85.38,461.3,29.04,3925,-0.008708,0.0019,0.002243,-0.015674,-5.16,-4.175,0.1,-102.5,82.26,450.65,28.98,3870,-0.018611,-0.011678,-0.001034,-0.007056,-2.31,-4.45,0.035,-90,85.37,454.85,29.02,3820,0.018553,0.004638,0.00069,-0.006502,-0.005,-3.225,-0.01,-52.5,86.45,466.25,28.99,3660,0.006286,0.012377,-0.000517,-0.02139,2.095,7.8,0.005,-105,91.029,456.375,28.915,4026.5,138.38,686.975,43.355,6155,Down
96.2,452.4,28.81,4200,0.006592,0.018346,0.000521,0,2.52,7.825,-0.065,0,97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,85.38,461.3,29.04,3925,-0.008708,0.0019,0.002243,-0.015674,-5.16,-4.175,0.1,-102.5,82.26,450.65,28.98,3870,-0.018611,-0.011678,-0.001034,-0.007056,-2.31,-4.45,0.035,-90,85.37,454.85,29.02,3820,0.018553,0.004638,0.00069,-0.006502,-0.005,-3.225,-0.01,-52.5,86.45,466.25,28.99,3660,0.006286,0.012377,-0.000517,-0.02139,2.095,7.8,0.005,-105,87.24,464.35,29.13,3460,0.004548,-0.002042,0.002409,-0.02809,0.935,4.75,0.055,-180,90.259,459.2,28.95,3952.5,130.68,691.075,43.435,6012.5,Down
97.24,451.25,28.89,4200,0.005376,-0.001273,0.001386,0,1.15,7.575,0.055,0,99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,85.38,461.3,29.04,3925,-0.008708,0.0019,0.002243,-0.015674,-5.16,-4.175,0.1,-102.5,82.26,450.65,28.98,3870,-0.018611,-0.011678,-0.001034,-0.007056,-2.31,-4.45,0.035,-90,85.37,454.85,29.02,3820,0.018553,0.004638,0.00069,-0.006502,-0.005,-3.225,-0.01,-52.5,86.45,466.25,28.99,3660,0.006286,0.012377,-0.000517,-0.02139,2.095,7.8,0.005,-105,87.24,464.35,29.13,3460,0.004548,-0.002042,0.002409,-0.02809,0.935,4.75,0.055,-180,87.96,453.35,29.57,3360,0.00411,-0.011986,0.007496,-0.014663,0.755,-6.45,0.29,-150,89.435,459.295,29.026,3868.5,130.68,691.075,43.48,5860,Down
99.87,461.75,28.89,4210,0.013343,0.011501,0,0.001189,1.835,4.675,0.04,5,95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,85.38,461.3,29.04,3925,-0.008708,0.0019,0.002243,-0.015674,-5.16,-4.175,0.1,-102.5,82.26,450.65,28.98,3870,-0.018611,-0.011678,-0.001034,-0.007056,-2.31,-4.45,0.035,-90,85.37,454.85,29.02,3820,0.018553,0.004638,0.00069,-0.006502,-0.005,-3.225,-0.01,-52.5,86.45,466.25,28.99,3660,0.006286,0.012377,-0.000517,-0.02139,2.095,7.8,0.005,-105,87.24,464.35,29.13,3460,0.004548,-0.002042,0.002409,-0.02809,0.935,4.75,0.055,-180,87.96,453.35,29.57,3360,0.00411,-0.011986,0.007496,-0.014663,0.755,-6.45,0.29,-150,79.85,442.35,30.07,2950,-0.048328,-0.012281,0.008384,-0.064976,-3.695,-11,0.47,-255,87.696,458.405,29.144,3743.5,130.105,691.075,43.515,5780,Down
95.7,469.65,28.84,4130,-0.021322,0.008482,-0.000866,-0.009592,-0.77,9.2,-0.025,-35,86.88,459.55,28.91,4050,-0.048308,-0.01087,0.001212,-0.00978,-6.495,-1.1,0.01,-80,85.38,461.3,29.04,3925,-0.008708,0.0019,0.002243,-0.015674,-5.16,-4.175,0.1,-102.5,82.26,450.65,28.98,3870,-0.018611,-0.011678,-0.001034,-0.007056,-2.31,-4.45,0.035,-90,85.37,454.85,29.02,3820,0.018553,0.004638,0.00069,-0.006502,-0.005,-3.225,-0.01,-52.5,86.45,466.25,28.99,3660,0.006286,0.012377,-0.000517,-0.02139,2.095,7.8,0.005,-105,87.24,464.35,29.13,3460,0.004548,-0.002042,0.002409,-0.02809,0.935,4.75,0.055,-180,87.96,453.35,29.57,3360,0.00411,-0.011986,0.007496,-0.014663,0.755,-6.45,0.29,-150,79.85,442.35,30.07,2950,-0.048328,-0.012281,0.008384,-0.064976,-3.695,-11,0.47,-255,79.2,408.65,30.47,2800,-0.004087,-0.0396,0.006607,-0.026087,-4.38,-22.35,0.45,-280,85.629,453.095,29.302,3602.5,129.14,686.975,43.55,5650,Down
