@relation weka_training_3

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric
@attribute A59 numeric
@attribute A60 numeric
@attribute A61 numeric
@attribute A62 numeric
@attribute A63 numeric
@attribute A64 numeric
@attribute A65 numeric
@attribute A66 numeric
@attribute A67 numeric
@attribute A68 numeric
@attribute A69 numeric
@attribute A70 numeric
@attribute A71 numeric
@attribute A72 numeric
@attribute A73 numeric
@attribute A74 numeric
@attribute A75 numeric
@attribute A76 numeric
@attribute A77 numeric
@attribute A78 numeric
@attribute A79 numeric
@attribute A80 numeric
@attribute A81 numeric
@attribute A82 numeric
@attribute A83 numeric
@attribute A84 numeric
@attribute Target {Rise,Down}

@data
-0.001348,-0.002301,-0.000075,-0.000472,0.193741,0.516437,0.107299,4.83908,-0.001348,-0.002301,-0.000075,-0.000472,0.193741,0.516437,0.107299,4.83908,-0.026501,0.027223,-0.002093,0.009751,80.123333,295.554167,31.846667,1777.666667,-0.049598,0.011363,0.001361,0.012951,-1.693333,5.129167,0,24,-0.029987,-0.026567,0.003658,0.009531,-3.286667,-0.816667,0.046667,17,-0.023099,-0.01567,0.002501,0.006353,-2.27,-4.183333,0.096667,17.666667,0.019156,0.012106,0.00104,-0.001449,-0.136667,-2.433333,0.066667,4.333333,0.063519,0.022039,0.000208,-0.015676,2.306667,3.95,0.026667,-12,0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,77.409,299.60125,31.978,1810,Rise
-0.001348,-0.002301,-0.000075,-0.000472,0.193741,0.516437,0.107299,4.83908,-0.026501,0.027223,-0.002093,0.009751,80.123333,295.554167,31.846667,1777.666667,-0.049598,0.011363,0.001361,0.012951,-1.693333,5.129167,0,24,-0.029987,-0.026567,0.003658,0.009531,-3.286667,-0.816667,0.046667,17,-0.023099,-0.01567,0.002501,0.006353,-2.27,-4.183333,0.096667,17.666667,0.019156,0.012106,0.00104,-0.001449,-0.136667,-2.433333,0.066667,4.333333,0.063519,0.022039,0.000208,-0.015676,2.306667,3.95,0.026667,-12,0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,77.571,302.565,31.976,1825.6,Rise
-0.026501,0.027223,-0.002093,0.009751,80.123333,295.554167,31.846667,1777.666667,-0.049598,0.011363,0.001361,0.012951,-1.693333,5.129167,0,24,-0.029987,-0.026567,0.003658,0.009531,-3.286667,-0.816667,0.046667,17,-0.023099,-0.01567,0.002501,0.006353,-2.27,-4.183333,0.096667,17.666667,0.019156,0.012106,0.00104,-0.001449,-0.136667,-2.433333,0.066667,4.333333,0.063519,0.022039,0.000208,-0.015676,2.306667,3.95,0.026667,-12,0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,-0.005669,-0.005928,-0.003136,0.050809,0.34,1.5,-0.096667,72.666667,77.364,304.43,31.968,1848.4,Rise
-0.049598,0.011363,0.001361,0.012951,-1.693333,5.129167,0,24,-0.029987,-0.026567,0.003658,0.009531,-3.286667,-0.816667,0.046667,17,-0.023099,-0.01567,0.002501,0.006353,-2.27,-4.183333,0.096667,17.666667,0.019156,0.012106,0.00104,-0.001449,-0.136667,-2.433333,0.066667,4.333333,0.063519,0.022039,0.000208,-0.015676,2.306667,3.95,0.026667,-12,0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,-0.005669,-0.005928,-0.003136,0.050809,0.34,1.5,-0.096667,72.666667,-0.007937,-0.001215,0.000628,0.017523,-0.5,0.616667,-0.05,62.666667,77.564,305.58,31.976,1870.2,Rise
-0.029987,-0.026567,0.003658,0.009531,-3.286667,-0.816667,0.046667,17,-0.023099,-0.01567,0.002501,0.006353,-2.27,-4.183333,0.096667,17.666667,0.019156,0.012106,0.00104,-0.001449,-0.136667,-2.433333,0.066667,4.333333,0.063519,0.022039,0.000208,-0.015676,2.306667,3.95,0.026667,-12,0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,-0.005669,-0.005928,-0.003136,0.050809,0.34,1.5,-0.096667,72.666667,-0.007937,-0.001215,0.000628,0.017523,-0.5,0.616667,-0.05,62.666667,0.017439,0.019965,-0.001363,0,0.406667,1.733333,-0.036667,34.666667,78.356,307.525,31.963,1889,Rise
-0.023099,-0.01567,0.002501,0.006353,-2.27,-4.183333,0.096667,17.666667,0.019156,0.012106,0.00104,-0.001449,-0.136667,-2.433333,0.066667,4.333333,0.063519,0.022039,0.000208,-0.015676,2.306667,3.95,0.026667,-12,0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,-0.005669,-0.005928,-0.003136,0.050809,0.34,1.5,-0.096667,72.666667,-0.007937,-0.001215,0.000628,0.017523,-0.5,0.616667,-0.05,62.666667,0.017439,0.019965,-0.001363,0,0.406667,1.733333,-0.036667,34.666667,0.029833,0.026117,-0.003359,0.012179,1.413333,6.333333,-0.046667,12.333333,79.559,311.535,31.927,1910.4,Rise
0.019156,0.012106,0.00104,-0.001449,-0.136667,-2.433333,0.066667,4.333333,0.063519,0.022039,0.000208,-0.015676,2.306667,3.95,0.026667,-12,0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,-0.005669,-0.005928,-0.003136,0.050809,0.34,1.5,-0.096667,72.666667,-0.007937,-0.001215,0.000628,0.017523,-0.5,0.616667,-0.05,62.666667,0.017439,0.019965,-0.001363,0,0.406667,1.733333,-0.036667,34.666667,0.029833,0.026117,-0.003359,0.012179,1.413333,6.333333,-0.046667,12.333333,-0.003591,0.013284,-0.004954,0.023833,1.08,6.416667,-0.13,30.666667,80.764,315.865,31.867,1936.1,Rise
0.063519,0.022039,0.000208,-0.015676,2.306667,3.95,0.026667,-12,0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,-0.005669,-0.005928,-0.003136,0.050809,0.34,1.5,-0.096667,72.666667,-0.007937,-0.001215,0.000628,0.017523,-0.5,0.616667,-0.05,62.666667,0.017439,0.019965,-0.001363,0,0.406667,1.733333,-0.036667,34.666667,0.029833,0.026117,-0.003359,0.012179,1.413333,6.333333,-0.046667,12.333333,-0.003591,0.013284,-0.004954,0.023833,1.08,6.416667,-0.13,30.666667,0.008212,-0.00406,-0.00275,0.008786,0.886667,2.533333,-0.11,30.666667,81.863,319.3,31.801,1962.8,Rise
0.023031,0.018096,-0.000208,-0.008835,2.823333,5.816667,0.003333,-17.666667,0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,-0.005669,-0.005928,-0.003136,0.050809,0.34,1.5,-0.096667,72.666667,-0.007937,-0.001215,0.000628,0.017523,-0.5,0.616667,-0.05,62.666667,0.017439,0.019965,-0.001363,0,0.406667,1.733333,-0.036667,34.666667,0.029833,0.026117,-0.003359,0.012179,1.413333,6.333333,-0.046667,12.333333,-0.003591,0.013284,-0.004954,0.023833,1.08,6.416667,-0.13,30.666667,0.008212,-0.00406,-0.00275,0.008786,0.886667,2.533333,-0.11,30.666667,0.015481,-0.031854,-0.000424,0.019755,0.41,-4.966667,-0.073333,39.333333,82.497,320.635,31.735,1999.6,Rise
0.014649,0.015397,-0.00156,0.010148,2.456667,5.483333,-0.026667,-4.333333,0.005446,0.015903,-0.003647,0.035811,0.476667,4.866667,-0.073333,36.333333,-0.005669,-0.005928,-0.003136,0.050809,0.34,1.5,-0.096667,72.666667,-0.007937,-0.001215,0.000628,0.017523,-0.5,0.616667,-0.05,62.666667,0.017439,0.019965,-0.001363,0,0.406667,1.733333,-0.036667,34.666667,0.029833,0.026117,-0.003359,0.012179,1.413333,6.333333,-0.046667,12.333333,-0.003591,0.013284,-0.004954,0.023833,1.08,6.416667,-0.13,30.666667,0.008212,-0.00406,-0.00275,0.008786,0.886667,2.533333,-0.11,30.666667,0.015481,-0.031854,-0.000424,0.019755,0.41,-4.966667,-0.073333,39.333333,-0.085437,-0.075064,0.004233,0.029059,-2.71,-15.133333,0.053333,42,82.042,318.68,31.69,2043.2,Rise
