@relation weka_training_4

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute A41 numeric
@attribute A42 numeric
@attribute A43 numeric
@attribute A44 numeric
@attribute A45 numeric
@attribute A46 numeric
@attribute A47 numeric
@attribute A48 numeric
@attribute A49 numeric
@attribute A50 numeric
@attribute A51 numeric
@attribute A52 numeric
@attribute A53 numeric
@attribute A54 numeric
@attribute A55 numeric
@attribute A56 numeric
@attribute A57 numeric
@attribute A58 numeric
@attribute A59 numeric
@attribute A60 numeric
@attribute A61 numeric
@attribute A62 numeric
@attribute A63 numeric
@attribute A64 numeric
@attribute A65 numeric
@attribute A66 numeric
@attribute A67 numeric
@attribute A68 numeric
@attribute A69 numeric
@attribute A70 numeric
@attribute A71 numeric
@attribute A72 numeric
@attribute A73 numeric
@attribute A74 numeric
@attribute A75 numeric
@attribute A76 numeric
@attribute A77 numeric
@attribute A78 numeric
@attribute A79 numeric
@attribute A80 numeric
@attribute A81 numeric
@attribute A82 numeric
@attribute A83 numeric
@attribute A84 numeric
@attribute Target {Rise,Down}

@data
0.008535,0.023757,-0.004451,0.041888,1.7775,5.3875,-0.055,17.75,-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,81.053,315.65,31.667,2083.8,Down
-0.001114,-0.000878,-0.004618,0.067621,0.2175,2.3125,-0.075,53.25,-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,79.933,310.845,31.691,2114,Down
-0.010574,0.000556,-0.000706,0.037629,0.085,1.65,-0.055,54.5,0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,0.017714,0.000378,0.009393,-0.042864,-3.045,-9.05625,0.2025,-17.25,79.262,307.6325,31.736,2122.6,Down
0.016832,0.019055,-0.001886,0.013085,0.24,2.575,-0.0625,47,0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,0.017714,0.000378,0.009393,-0.042864,-3.045,-9.05625,0.2025,-17.25,-0.003796,0.035737,0.006695,-0.041618,-0.9,0.625,0.175,-42.5,78.413,305.2675,31.783,2127.4,Down
0.03542,0.03455,-0.00362,0.013722,0.92,3.4125,-0.055,35.25,0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,0.017714,0.000378,0.009393,-0.042864,-3.045,-9.05625,0.2025,-17.25,-0.003796,0.035737,0.006695,-0.041618,-0.9,0.625,0.175,-42.5,0.020118,0.010312,0.006116,-0.04105,0.5425,0.45,0.1775,-55.5,77.545,301.3875,31.856,2127,Down
0.007078,0.024828,-0.006786,0.029214,0.64,5.3375,-0.08,23,0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,0.017714,0.000378,0.009393,-0.042864,-3.045,-9.05625,0.2025,-17.25,-0.003796,0.035737,0.006695,-0.041618,-0.9,0.625,0.175,-42.5,0.020118,0.010312,0.006116,-0.04105,0.5425,0.45,0.1775,-55.5,0.041425,0.00657,-0.001469,-0.035925,1.785,4.475,0.045,-63,76.771,297.0075,31.92,2117.9,Down
0.014118,0.002687,-0.004671,0.017769,1.28,4.0125,-0.1075,23,0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,0.017714,0.000378,0.009393,-0.042864,-3.045,-9.05625,0.2025,-17.25,-0.003796,0.035737,0.006695,-0.041618,-0.9,0.625,0.175,-42.5,0.020118,0.010312,0.006116,-0.04105,0.5425,0.45,0.1775,-55.5,0.041425,0.00657,-0.001469,-0.035925,1.785,4.475,0.045,-63,0.046826,0.01016,-0.005571,-0.028127,1.2225,2.79375,-0.0275,-41,76.333,292.7775,31.986,2100.9,Down
0.015231,-0.035144,-0.002064,0.028951,0.9225,-1.6125,-0.0825,38.75,-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,0.017714,0.000378,0.009393,-0.042864,-3.045,-9.05625,0.2025,-17.25,-0.003796,0.035737,0.006695,-0.041618,-0.9,0.625,0.175,-42.5,0.020118,0.010312,0.006116,-0.04105,0.5425,0.45,0.1775,-55.5,0.041425,0.00657,-0.001469,-0.035925,1.785,4.475,0.045,-63,0.046826,0.01016,-0.005571,-0.028127,1.2225,2.79375,-0.0275,-41,-0.044377,0.002253,-0.000542,-0.055383,0.1575,-0.5625,-0.0125,-59,75.035,288.5825,32.071,2072.9,Rise
-0.088526,-0.091031,0.004446,0.03659,-2.4525,-10.7625,-0.005,45.25,-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,0.017714,0.000378,0.009393,-0.042864,-3.045,-9.05625,0.2025,-17.25,-0.003796,0.035737,0.006695,-0.041618,-0.9,0.625,0.175,-42.5,0.020118,0.010312,0.006116,-0.04105,0.5425,0.45,0.1775,-55.5,0.041425,0.00657,-0.001469,-0.035925,1.785,4.475,0.045,-63,0.046826,0.01016,-0.005571,-0.028127,1.2225,2.79375,-0.0275,-41,-0.044377,0.002253,-0.000542,-0.055383,0.1575,-0.5625,-0.0125,-59,0.000296,0.009759,-0.001241,-0.022328,0.5775,2.2125,-0.0775,-39.75,74.029,286.2325,32.146,2041.1,Down
-0.099217,-0.072409,0.006732,0.021637,-2.9075,-12.85,0.0775,31.5,-0.075105,-0.067368,0.011737,0.000339,-3.77,-15.2125,0.17,26.5,0.017714,0.000378,0.009393,-0.042864,-3.045,-9.05625,0.2025,-17.25,-0.003796,0.035737,0.006695,-0.041618,-0.9,0.625,0.175,-42.5,0.020118,0.010312,0.006116,-0.04105,0.5425,0.45,0.1775,-55.5,0.041425,0.00657,-0.001469,-0.035925,1.785,4.475,0.045,-63,0.046826,0.01016,-0.005571,-0.028127,1.2225,2.79375,-0.0275,-41,-0.044377,0.002253,-0.000542,-0.055383,0.1575,-0.5625,-0.0125,-59,0.000296,0.009759,-0.001241,-0.022328,0.5775,2.2125,-0.0775,-39.75,0.003101,-0.014775,0.000311,-0.018157,-0.2925,-0.575,-0.02,-33.5,74.119,285.9275,32.204,2000.5,Down
