Date,B_N_Crude,B_N_SMR,B_N_Rate,B_N_T,MA_N_Crude,MA_N_SMR,MA_N_Rate,MA_N_T,Target
1/1/2010,-0.002584535245022819,-0.008722874975588933,-5.24639481571761E-4,-0.002383879500670334,0.20071791862284818,0.5152679968701095,0.10899061032863851,3.7519561815336466,Rise
1/8/2010,-0.002584535245022819,-0.008722874975588933,-5.24639481571761E-4,-0.002383879500670334,0.20071791862284818,0.5152679968701095,0.10899061032863851,3.7519561815336466,Rise
1/15/2010,-0.002584535245022819,-0.008722874975588933,-5.24639481571761E-4,-0.002383879500670334,0.20071791862284818,0.5152679968701095,0.10899061032863851,3.7519561815336466,Rise
1/22/2010,-0.002584535245022819,-0.008722874975588933,-5.24639481571761E-4,-0.002383879500670334,0.20071791862284818,0.5152679968701095,0.10899061032863851,3.7519561815336466,Rise
1/29/2010,-0.002584535245022819,-0.008722874975588933,-5.24639481571761E-4,-0.002383879500670334,0.20071791862284818,0.5152679968701095,0.10899061032863851,3.7519561815336466,Rise
2/5/2010,-0.002584535245022819,-0.008722874975588933,-5.24639481571761E-4,-0.002383879500670334,0.20071791862284818,0.5152679968701095,0.10899061032863851,3.7519561815336466,Rise
2/12/2010,-0.002584535245022819,-0.008722874975588933,-5.24639481571761E-4,-0.002383879500670334,0.20071791862284818,0.5152679968701095,0.10899061032863851,3.7519561815336466,Down
2/19/2010,-0.002584535245022819,-0.008722874975588933,-5.24639481571761E-4,-0.002383879500670334,0.20071791862284818,0.5152679968701095,0.10899061032863851,3.7519561815336466,Down
2/26/2010,0.035157885617753556,0.03494066284287199,0.003301247524064206,-0.00737327188940088,76.95444444444445,298.0847222222222,31.974444444444448,1808.3333333333333,Down
3/5/2010,0.056201131798349714,0.041351161673992665,6.947097849873191E-4,0.0047715177096715414,0.20888888888889312,2.7263888888888914,0.013333333333328312,8.0,Rise
3/12/2010,0.05512583698914795,0.04900596785413553,-0.0036819618604327134,0.04310606520551273,-0.16777777777778624,2.6666666666666856,0.0,13.777777777777828,Rise
3/19/2010,0.04381576677591862,0.027839603021126123,-0.006217436609933977,0.08556534244112893,0.2977777777777817,1.044444444444423,0.0011111111111112848,24.22222222222217,Rise
3/26/2010,0.026957637997432532,0.03059926590834756,-0.003925382985375401,0.07347277359720332,0.6066666666666691,1.2222222222222854,-0.0033333333333303017,20.888888888888914,Rise
4/2/2010,0.044282156275064606,0.04620331614780731,-0.006188721229399869,0.06233141784918493,1.0633333333333042,3.5166666666667084,-0.027777777777778567,19.666666666666742,Rise
4/9/2010,0.0550524572059637,0.05796126473816514,-0.00818245125348195,0.06919332406119615,1.5255555555555702,4.5499999999999545,-0.046666666666666856,22.444444444444343,Rise
4/16/2010,0.021335769110168806,0.05147020284081977,-0.011689580570870415,0.08115048793014895,1.0122222222222348,4.172222222222217,-0.06888888888888545,29.666666666666742,Rise
4/23/2010,0.03689667307327916,0.03153067405035904,-0.010667319529938546,0.06265425173883776,0.5899999999999892,3.044444444444423,-0.07333333333333414,33.888888888888914,Rise
4/30/2010,0.040305376286377606,-0.015166416481184303,-0.008413082343043403,0.07202900939508822,0.7211111111111137,0.955555555555577,-0.0722222222222264,41.44444444444434,Rise
5/7/2010,-0.0851648351648352,-0.09500443702041024,-7.722278774263836E-4,0.07911001236093948,-0.7099999999999937,-2.7000000000000455,-0.04222222222222172,45.111111111111086,Rise
5/14/2010,-0.11627747535274029,-0.10274298398604735,0.004283707865168535,0.06075334143377888,-1.0700000000000074,-3.9333333333332803,-0.00999999999999801,35.77777777777783,Rise
5/21/2010,-0.12285535378835302,-0.12976443864136378,0.013573232323232315,0.04036179223087784,-1.1822222222222223,-4.744444444444412,0.03555555555555401,22.0,Down
5/28/2010,-0.0657994443041173,-0.08450959266267698,0.016322241681261035,-0.016759485764846743,-0.6699999999999875,-3.8027777777778056,0.04222222222222172,9.555555555555657,Down
6/4/2010,-0.08277395356791653,-0.038867768973572074,0.017128674799874153,-0.03696588962151507,-1.2166666666666686,-3.5666666666667197,0.06333333333333258,5.333333333333485,Down
6/11/2010,-0.03839080126859082,-0.044418550454439445,0.019169774493743668,-0.059261186264308055,-1.2377777777777794,-5.25,0.09333333333333727,-4.555555555555657,Down
6/18/2010,0.014828991774657792,-0.01590643940471796,0.0100093837973101,-0.07565272098144077,-0.673333333333332,-5.127777777777737,0.09111111111110404,-16.22222222222217,Down
6/25/2010,0.046490025213429424,0.012256294228084483,0.0025656138404465127,-0.0787663986457892,-0.6955555555555577,-4.344444444444434,0.07777777777778638,-18.88888888888914,Down
7/2/2010,-0.022493224932249464,0.013265335915677962,0.00428650442477899,-0.11508000646516897,-1.5566666666666578,-3.1000000000000227,0.09444444444443434,-38.11111111111086,Down
7/9/2010,0.02951080910430254,0.026822752222276317,-7.245626746715825E-4,-0.08415841584158416,0.1088888888888846,0.5166666666666515,0.06111111111112422,-42.333333333333485,Rise
7/16/2010,0.021670300785567163,-0.0012517830630842954,-0.001274719217253586,-0.075897378192866,0.48888888888888005,0.3277777777778397,0.04777777777777459,-45.111111111111086,Down
7/23/2010,0.04760360785238459,-0.006954022434197258,-0.003272476748191707,-0.07861345022493939,0.9933333333333394,1.7444444444444116,0.004444444444445139,-48.44444444444457,Down
7/30/2010,0.03957571324067306,0.00601460415065351,-0.005170096163788574,-0.06106735629481598,0.5533333333333275,1.1083333333332916,-0.018888888888895394,-36.0,Rise
8/6/2010,0.04852098341249319,0.042342721567426835,-0.010633890346637429,-0.04212979562567225,1.021111111111125,1.2444444444444684,-0.05444444444443519,-31.111111111111086,Rise
