Data,Crude_Oil_NYMEX,SMR_20_US,Rate,Butadiene
11/17/2012,299.1,108.54,29.17,1644
11/24/2012,298,110.93,29.13,1600
12/1/2012,298.4,110.9,29.11,1495
12/8/2012,301.5,107.08,29.11,1495
12/15/2012,310.3,109.12,29.1,1540
12/22/2012,315.8,108.93,29.12,1640
12/29/2012,323,110.14,29.1,1640
12/31/2012,323,110.6,29.09,1640
1/5/2013,334.5,112.07,29.06,1640
1/12/2013,334.3,110.46,29.12,1790
1/19/2013,328.9,111.85,29.58,1840
1/26/2013,326.7,113.54,29.63,1860
2/2/2013,334,116.8,29.63,1950
2/9/2013,331,118.94,29.66,2010
2/16/2013,323.9,117.55,29.7,2089
2/23/2013,304.8,113.9,29.71,2080
3/2/2013,300.2,110.29,29.75,2060
3/9/2013,307.1,109.89,29.84,1845
3/16/2013,295.5,109.55,29.9,1735
3/23/2013,296.3,106.93,29.92,1570
3/30/2013,293,108.69,30.01,1500
4/6/2013,277,104.02,29.89,1470
4/13/2013,294,101.9,29.8,1405
4/20/2013,285,99.17,29.61,1395
4/27/2013,292.5,102.77,29.6,1460
5/4/2013,296,104.43,29.99,1475
5/11/2013,306,102.57,29.99,1480
5/18/2013,302.1,104.35,30.06,1480
5/25/2013,310,101.91,29.95,1470
6/1/2013,297.8,100.38,30.08,1440
6/8/2013,286.5,104.28,30.07,1420
6/15/2013,278,105.74,30.23,1410
6/22/2013,279.3,100.6,30.18,1260
6/29/2013,265.5,102.29,30.08,1150
7/6/2013,265,107.5,29.94,979
7/13/2013,255,108.88,29.94,869
7/20/2013,255,108.77,30.06,854
7/27/2013,250,107.51,29.97,910
8/3/2013,244.3,109.33,30,1090
8/10/2013,245,108.37,30.07,1090
8/17/2013,261.7,111.23,30.02,1129
8/24/2013,263,111.24,29.91,1250
8/31/2013,262.3,114.67,29.8,1240
9/7/2013,268.7,116.6,29.74,1240
9/14/2013,259.2,112.89,29.65,1370
9/21/2013,267,109.65,29.58,1390
9/28/2013,258,108.92,29.52,1490
10/5/2013,248.2,109.46,29.45,1590
10/12/2013,256,110.95,29.45,1680
10/19/2013,257,109.71,29.46,1679
10/26/2013,251,106.36,29.48,1750
11/2/2013,251.1,106.67,29.62,1710
11/9/2013,250,104.67,29.59,1585
11/16/2013,249,108.34,29.66,1400
11/23/2013,248.5,111.22,29.67,1420
11/30/2013,252,110.26,29.64,1560
12/7/2013,257,111.67,29.81,1620
12/14/2013,261.2,108.48,30.03,1485
12/21/2013,257,111.98,30.67,1460
12/28/2013,253,111.29,30.24,1460
12/31/2013,249,110.55,30.19,1460
1/4/2014,243,106.72,30.33,1460
1/11/2014,239,106.88,30.44,1500
1/18/2014,235.2,107.48,30.41,1510
1/25/2014,227.7,108.62,30.37,1490
2/1/2014,217.4,107.27,30.34,1480
2/8/2014,206,109.38,30.38,1489
2/15/2014,215,108.81,30.34,1470
2/22/2014,216.4,110.09,30.34,1455
3/1/2014,220,108.93,30.47,1448
3/8/2014,224,109.08,30.59,1410
3/15/2014,233.2,108.34,30.42,1280
3/22/2014,229.9,107.08,30.2,1190
3/29/2014,231.6,107.36,30.22,1204
4/5/2014,226.5,106.64,30.3,1260
4/12/2014,224.8,107.4,30.24,1300
4/19/2014,220.9,109.21,30.16,1299
4/26/2014,207.1,109.48,30.2,1250
5/3/2014,206,109.1,30.18,1250
5/10/2014,202.6,108.07,30.13,1245
5/17/2014,208.3,110.48,30.08,1230
5/24/2014,210.1,110.63,30.04,1230
5/31/2014,209.7,109.23,30.05,1251
6/7/2014,203.8,108.69,30.01,1301
6/14/2014,209.2,113.11,29.92,1371
6/21/2014,214.7,114.65,29.96,1401
6/28/2014,209.7,112.67,30.04,1401
7/5/2014,207.8,109.82,30.03,1481
